Date,Open,High,Low,Close,Volume
31-10-2023,3399,3399,3350.050049,3368.75,999811
01-11-2023,3355,3371.600098,3311,3330.649902,1563475
02-11-2023,3343.199951,3375.949951,3343.199951,3360.100098,1245384
03-11-2023,3382,3387.899902,3344.300049,3350.899902,1402598
06-11-2023,3375,3392.300049,3359,3380.25,1099852
07-11-2023,3378,3404.149902,3366,3370.449951,1191144
08-11-2023,3371.449951,3401.949951,3369.550049,3381.550049,992899
09-11-2023,3390.100098,3391.5,3342.050049,3347.449951,2112352
10-11-2023,3338,3347.449951,3322.350098,3333.449951,1338557
13-11-2023,3356,3356,3327,3331.550049,1030990
15-11-2023,3383.100098,3413,3356.050049,3404.300049,2059802
16-11-2023,3430.050049,3529.350098,3414.199951,3497.850098,3951984
17-11-2023,3497.850098,3524.5,3492.550049,3502.449951,2021292
20-11-2023,3491.25,3533.899902,3491.25,3519.600098,1475621
21-11-2023,3519.600098,3539.050049,3501,3510.199951,1807236
22-11-2023,3500,3532.649902,3481.100098,3530.149902,1798051
23-11-2023,3530,3544,3500,3508.25,2729804
24-11-2023,3494.25,3504.550049,3453,3457.100098,1989733
28-11-2023,3457.100098,3481.25,3433,3470.149902,1689195
29-11-2023,3481,3518,3475.800049,3513.75,1441634
30-11-2023,3499.449951,3516.649902,3481,3487.600098,3266235
01-12-2023,3500,3516.949951,3490.050049,3511.649902,1172141
04-12-2023,3544.649902,3547.800049,3498,3512.449951,1625213
05-12-2023,3538,3538,3502.800049,3531.600098,1377656
06-12-2023,3532.600098,3612.850098,3525.149902,3604.100098,1896572
07-12-2023,3605,3630.550049,3591.699951,3614.899902,1967653
08-12-2023,3633,3645,3602.050049,3626.699951,1641155
11-12-2023,3622.899902,3653,3615,3642.899902,1102503
12-12-2023,3638.949951,3698.399902,3631,3672.100098,2236866
13-12-2023,3643.550049,3650,3563,3593.550049,3850968
14-12-2023,3630,3678,3627.600098,3667.25,3290396
15-12-2023,3666.699951,3895.949951,3666.699951,3861,8531230
18-12-2023,3858.100098,3929,3830.149902,3859.199951,2521612
19-12-2023,3845,3855.100098,3790,3816.199951,2004435
20-12-2023,3827.25,3898.800049,3766.550049,3780.050049,2586083
21-12-2023,3756.25,3806.699951,3743.350098,3787.5,1517562
22-12-2023,3800,3845.949951,3762,3824,2413058
26-12-2023,3819.850098,3834,3790.149902,3795.550049,1285231
27-12-2023,3799,3818.199951,3768,3811.199951,1293976
28-12-2023,3824,3838,3792.100098,3799.899902,1682889
29-12-2023,3792,3822.600098,3765.399902,3793.399902,1574996
01-01-2024,3790,3832,3773,3811.100098,825907
02-01-2024,3811.100098,3811.100098,3767.25,3783.199951,1344068
03-01-2024,3767,3771.850098,3687.050049,3691.75,1803075
04-01-2024,3701.75,3719,3651,3666.800049,3598144
05-01-2024,3675,3747.75,3674.850098,3737.899902,1963127
08-01-2024,3737.899902,3739.75,3672.399902,3678.300049,1067805
09-01-2024,3709.949951,3752.350098,3682.75,3689.899902,1370944
10-01-2024,3690,3729.25,3688,3713.050049,1292227
11-01-2024,3724,3773,3707,3735.550049,1777909
12-01-2024,3848,3905.25,3821.600098,3882.800049,6813450
15-01-2024,3960,3965,3885,3903.800049,2801505
16-01-2024,3899,3899,3855.550049,3861.300049,1432672
17-01-2024,3819,3909.949951,3812.550049,3884.600098,3458696
18-01-2024,3898,3908.800049,3862,3902.600098,2239110
19-01-2024,3945,3963.550049,3915.050049,3943.050049,2941975
23-01-2024,3900,3933.899902,3842.75,3858.25,2618854
24-01-2024,3880,3883.649902,3805.600098,3841.800049,2657709
25-01-2024,3839.899902,3861,3778.699951,3810.300049,2205154
29-01-2024,3800.800049,3820,3780.850098,3801,1646747
30-01-2024,3807.449951,3847.800049,3787,3800.550049,1411621
31-01-2024,3811.199951,3834,3796.449951,3815.949951,2459358
01-02-2024,3820,3904.899902,3805.050049,3854.149902,2363107
02-02-2024,3875.050049,3984.399902,3872,3966.300049,2826510
05-02-2024,3983,4022,3962.100098,3973.300049,1691523
06-02-2024,3997,4149.899902,3990,4136,4474396
07-02-2024,4153,4155,4073.949951,4083.399902,2124267
08-02-2024,4090,4158,4086.050049,4134.100098,2345173
09-02-2024,4136.549805,4184.75,4100,4133.700195,2100596
12-02-2024,4130,4159.600098,4105.549805,4120.700195,1013716
13-02-2024,4125.450195,4170,4081.5,4149.5,1257415
14-02-2024,4107,4114.899902,4049.5,4100.100098,1391283
15-02-2024,4128,4146.299805,4083,4103.200195,1091582
16-02-2024,4113.25,4147.950195,4100.100098,4128.299805,1307556
19-02-2024,4123.049805,4128.299805,4055,4103.799805,772291
20-02-2024,4082.100098,4098,4010,4030.649902,1193648
21-02-2024,4013,4063.350098,3980.600098,3991.5,1885939
22-02-2024,3971,4094.949951,3971,4087.100098,2982052
23-02-2024,4130,4130,4046.399902,4052.100098,2538072
26-02-2024,4036,4050,3982.75,4001.050049,1379284
27-02-2024,3999,4124,3999,4104.399902,2960475
28-02-2024,4095.600098,4154.899902,4089,4118.950195,1939225
29-02-2024,4099,4138.100098,4064.550049,4095.100098,3772719
01-03-2024,4107.200195,4140,4086.800049,4094.350098,2043265
04-03-2024,4105,4117.899902,4075.899902,4080.699951,1749271
05-03-2024,4062,4064,3980,4012.100098,2070859
06-03-2024,3994.050049,4072,3958.449951,4064.300049,1744204
07-03-2024,4065,4124,4037.699951,4108.600098,2688905
11-03-2024,4089,4153,4089,4122.350098,2304068
12-03-2024,4122.350098,4229.950195,4121.049805,4192.25,4039801
13-03-2024,4205,4241,4131.899902,4149,2837260
14-03-2024,4153.450195,4225,4086,4207.600098,2919608
